geom_id,year,pop,cl
M3F7,2011,14567,L
M3F7,2011,11149,M
M3F7,2011,1654,H
VZj9,2011,15491,L
VZj9,2011,9493,M
VZj9,2011,1507,H
ARzh,2011,8448,L
ARzh,2011,6195,M
ARzh,2011,917,H
ySgs,2011,12878,L
ySgs,2011,10715,M
ySgs,2011,2956,H
2hOo,2011,9006,L
2hOo,2011,5457,M
2hOo,2011,762,H
HbBQ,2011,3121,L
HbBQ,2011,2138,M
HbBQ,2011,384,H
Rg2Q,2011,5698,L
Rg2Q,2011,3455,M
Rg2Q,2011,603,H
LKoF,2011,11476,L
LKoF,2011,9102,M
LKoF,2011,1441,H
IxZA,2011,3115,L
IxZA,2011,2048,M
IxZA,2011,317,H
KAPC,2011,4287,L
KAPC,2011,3464,M
KAPC,2011,583,H
6VhP,2011,18720,L
6VhP,2011,15178,M
6VhP,2011,2607,H
ySH8,2011,4476,L
ySH8,2011,3710,M
ySH8,2011,683,H
ySLf,2011,2176,L
ySLf,2011,1476,M
ySLf,2011,210,H
bn9f,2011,2855,L
bn9f,2011,1522,M
bn9f,2011,218,H
Dzgv,2011,12530,L
Dzgv,2011,9540,M
Dzgv,2011,2048,H
gXBj,2011,7786,L
gXBj,2011,5552,M
gXBj,2011,1296,H
Ejtr,2011,3884,L
Ejtr,2011,2200,M
Ejtr,2011,305,H
VZwF,2011,29229,L
VZwF,2011,20254,M
VZwF,2011,4134,H
4a9C,2011,3017,L
4a9C,2011,1705,M
4a9C,2011,233,H
Ot9p,2011,4734,L
Ot9p,2011,2737,M
Ot9p,2011,512,H
tCLl,2011,4179,L
tCLl,2011,2197,M
tCLl,2011,401,H
xisZ,2011,13320,L
xisZ,2011,10586,M
xisZ,2011,2282,H
KACW,2011,1257,L
KACW,2011,963,M
KACW,2011,148,H
eHmh,2011,7934,L
eHmh,2011,5922,M
eHmh,2011,960,H
Rgvj,2011,7999,L
Rgvj,2011,6360,M
Rgvj,2011,1256,H
hfKE,2011,3065,L
hfKE,2011,3492,M
hfKE,2011,3357,H
Aen6,2011,4719,L
Aen6,2011,4961,M
Aen6,2011,4225,H
8gqw,2011,4020,L
8gqw,2011,4316,M
8gqw,2011,3441,H
Sxct,2011,8421,L
Sxct,2011,8146,M
Sxct,2011,1732,H
IouI,2011,11613,L
IouI,2011,12220,M
IouI,2011,3316,H
izwN,2011,26583,L
izwN,2011,22472,M
izwN,2011,4759,H
UKgR,2011,5596,L
UKgR,2011,7078,M
UKgR,2011,4877,H
Jrlq,2011,9834,L
Jrlq,2011,13288,M
Jrlq,2011,6090,H
yINx,2011,4535,L
yINx,2011,6293,M
yINx,2011,3790,H
kAV9,2011,13022,L
kAV9,2011,16445,M
kAV9,2011,6719,H
N29v,2011,6104,L
N29v,2011,4287,M
N29v,2011,1899,H
Xnd8,2011,4242,L
Xnd8,2011,2276,M
Xnd8,2011,847,H
zYGj,2011,5558,L
zYGj,2011,4007,M
zYGj,2011,1303,H
KsbQ,2011,4789,L
KsbQ,2011,3936,M
KsbQ,2011,1319,H
Z3Og,2011,8111,L
Z3Og,2011,7269,M
Z3Og,2011,1980,H
L5gF,2011,7926,L
L5gF,2011,6165,M
L5gF,2011,1327,H
oPh4,2011,3538,L
oPh4,2011,2637,M
oPh4,2011,897,H
bqOd,2011,5631,L
bqOd,2011,3288,M
bqOd,2011,551,H
lNjc,2011,8899,L
lNjc,2011,6762,M
lNjc,2011,1293,H
cEUf,2011,5773,L
cEUf,2011,3281,M
cEUf,2011,559,H
4txb,2011,8928,L
4txb,2011,7039,M
4txb,2011,1315,H
6XTX,2011,18697,L
6XTX,2011,13392,M
6XTX,2011,1916,H
tSD0,2011,15538,L
tSD0,2011,12209,M
tSD0,2011,1909,H
KsXp,2011,6420,L
KsXp,2011,4448,M
KsXp,2011,510,H
qTtR,2011,19177,L
qTtR,2011,14282,M
qTtR,2011,1893,H
Hbiw,2011,6058,L
Hbiw,2011,3904,M
Hbiw,2011,518,H
eHxB,2011,3880,L
eHxB,2011,1611,M
eHxB,2011,304,H
IxQw,2011,3230,L
IxQw,2011,2688,M
IxQw,2011,540,H
CvK0,2011,9427,L
CvK0,2011,9284,M
CvK0,2011,1893,H
5srw,2011,13473,L
5srw,2011,13517,M
5srw,2011,3843,H
FLd2,2011,19216,L
FLd2,2011,16631,M
FLd2,2011,3971,H
kQtw,2011,6984,L
kQtw,2011,3471,M
kQtw,2011,547,H
3TYV,2011,9916,L
3TYV,2011,7449,M
3TYV,2011,1458,H
M3cX,2011,11300,L
M3cX,2011,11233,M
M3cX,2011,2799,H
seIA,2011,2232,L
seIA,2011,2134,M
seIA,2011,672,H
VZPc,2011,7049,L
VZPc,2011,5358,M
VZPc,2011,1018,H
uEMW,2011,8019,L
uEMW,2011,4651,M
uEMW,2011,731,H
PcXr,2011,3566,L
PcXr,2011,2185,M
PcXr,2011,351,H
5sS9,2011,2195,L
5sS9,2011,1503,M
5sS9,2011,235,H
sevh,2011,21579,L
sevh,2011,17322,M
sevh,2011,3997,H
XMzO,2011,7548,L
XMzO,2011,5297,M
XMzO,2011,1063,H
Zquy,2011,5633,L
Zquy,2011,4044,M
Zquy,2011,670,H
