geom_id,year,pop,cl
ZurM,2011,6030,L
ZurM,2011,5880,M
ZurM,2011,2123,H
Ltnp,2011,2723,L
Ltnp,2011,2540,M
Ltnp,2011,617,H
5JhQ,2011,4471,L
5JhQ,2011,2804,M
5JhQ,2011,201,H
KC05,2011,6261,L
KC05,2011,5594,M
KC05,2011,736,H
IsFv,2011,2005,L
IsFv,2011,1758,M
IsFv,2011,1303,H
pMuk,2011,13489,L
pMuk,2011,11238,M
pMuk,2011,1506,H
sTw8,2011,9762,L
sTw8,2011,8206,M
sTw8,2011,1293,H
kQp1,2011,12334,L
kQp1,2011,10483,M
kQp1,2011,1620,H
81FR,2011,8591,L
81FR,2011,8238,M
81FR,2011,1918,H
LMQp,2011,10584,L
LMQp,2011,10333,M
LMQp,2011,2419,H
k3QK,2011,9286,L
k3QK,2011,7019,M
k3QK,2011,779,H
SjoI,2011,29384,L
SjoI,2011,21056,M
SjoI,2011,2228,H
KWe5,2011,18578,L
KWe5,2011,13386,M
KWe5,2011,1451,H
KWH5,2011,7556,L
KWH5,2011,6239,M
KWH5,2011,760,H
iLBD,2011,7391,L
iLBD,2011,6373,M
iLBD,2011,894,H
6J0g,2011,14173,L
6J0g,2011,10238,M
6J0g,2011,1108,H
lUwi,2011,1061,L
lUwi,2011,984,M
lUwi,2011,486,H
yEcr,2011,7213,L
yEcr,2011,5989,M
yEcr,2011,1099,H
N5cz,2011,3327,L
N5cz,2011,2888,M
N5cz,2011,442,H
XCMb,2011,10211,L
XCMb,2011,8243,M
XCMb,2011,950,H
pCik,2011,3530,L
pCik,2011,3134,M
pCik,2011,343,H
AoCs,2011,4506,L
AoCs,2011,3454,M
AoCs,2011,479,H
6X0V,2011,6084,L
6X0V,2011,4533,M
6X0V,2011,4736,H
eVWC,2011,7329,L
eVWC,2011,5776,M
eVWC,2011,6038,H
pQHl,2011,8831,L
pQHl,2011,7176,M
pQHl,2011,6597,H
RH3I,2011,10703,L
RH3I,2011,8800,M
RH3I,2011,4882,H
58bI,2011,13696,L
58bI,2011,10908,M
58bI,2011,3336,H
FpRa,2011,7141,L
FpRa,2011,6178,M
FpRa,2011,1408,H
2BL6,2011,14988,L
2BL6,2011,9599,M
2BL6,2011,2090,H
AeMe,2011,9955,L
AeMe,2011,8265,M
AeMe,2011,1432,H
Gke1,2011,14188,L
Gke1,2011,12295,M
Gke1,2011,8137,H
vl2G,2011,14343,L
vl2G,2011,11277,M
vl2G,2011,4106,H
Cmz5,2011,10578,L
Cmz5,2011,7547,M
Cmz5,2011,1204,H
lNBz,2011,14777,L
lNBz,2011,13004,M
lNBz,2011,5101,H
Dcwn,2011,6677,L
Dcwn,2011,6034,M
Dcwn,2011,1395,H
yIPm,2011,10711,L
yIPm,2011,9236,M
yIPm,2011,4668,H
xDEU,2011,6027,L
xDEU,2011,4904,M
xDEU,2011,2255,H
s6ny,2011,10003,L
s6ny,2011,7469,M
s6ny,2011,2015,H
Yjp3,2011,12312,L
Yjp3,2011,9825,M
Yjp3,2011,1565,H
kAVI,2011,18271,L
kAVI,2011,12526,M
kAVI,2011,2447,H
9L8b,2011,17305,L
9L8b,2011,13426,M
9L8b,2011,3517,H
zYFB,2011,23060,L
zYFB,2011,17117,M
zYFB,2011,2491,H
cEGw,2011,11429,L
cEGw,2011,8943,M
cEGw,2011,2383,H
UK68,2011,10576,L
UK68,2011,9737,M
UK68,2011,5557,H
n0av,2011,4561,L
n0av,2011,4199,M
n0av,2011,3987,H
PufH,2011,20251,L
PufH,2011,17886,M
PufH,2011,6028,H
pQHn,2011,15213,L
pQHn,2011,11751,M
pQHn,2011,2516,H
HZ1I,2011,13718,L
HZ1I,2011,9574,M
HZ1I,2011,3149,H
bq47,2011,8591,L
bq47,2011,8088,M
bq47,2011,4735,H
31yf,2011,16226,L
31yf,2011,13839,M
31yf,2011,2789,H
miYX,2011,15331,L
miYX,2011,11455,M
miYX,2011,1474,H
OyoP,2011,10958,L
OyoP,2011,8627,M
OyoP,2011,1198,H
UK6e,2011,11784,L
UK6e,2011,9756,M
UK6e,2011,4549,H
VM74,2011,9595,L
VM74,2011,7237,M
VM74,2011,1762,H
EwkK,2011,8520,L
EwkK,2011,5910,M
EwkK,2011,1037,H
58bi,2011,15116,L
58bi,2011,8352,M
58bi,2011,682,H
uhUk,2011,11134,L
uhUk,2011,7710,M
uhUk,2011,1415,H
L5gO,2011,13615,L
L5gO,2011,10104,M
L5gO,2011,2473,H
AeM0,2011,18352,L
AeM0,2011,13253,M
AeM0,2011,1961,H
gbTT,2011,13541,L
gbTT,2011,11157,M
gbTT,2011,1618,H
yStd,2011,42707,L
yStd,2011,36032,M
yStd,2011,9702,H
z2Nl,2011,8748,L
z2Nl,2011,6967,M
z2Nl,2011,937,H
cYzD,2011,8983,L
cYzD,2011,6464,M
cYzD,2011,782,H
gzuH,2011,7337,L
gzuH,2011,6437,M
gzuH,2011,1033,H
E14h,2011,1486,L
E14h,2011,1372,M
E14h,2011,225,H
Se9I,2011,4939,L
Se9I,2011,4354,M
Se9I,2011,840,H
hdbB,2011,17302,L
hdbB,2011,14266,M
hdbB,2011,2025,H
6zxg,2011,7178,L
6zxg,2011,7199,M
6zxg,2011,1965,H
lb6i,2011,5900,L
lb6i,2011,4952,M
lb6i,2011,417,H
ysKr,2011,14090,L
ysKr,2011,9212,M
ysKr,2011,1075,H
gc2H,2011,19083,L
gc2H,2011,16048,M
gc2H,2011,2396,H
Igkv,2011,1499,L
Igkv,2011,1400,M
Igkv,2011,332,H
iMeD,2011,16130,L
iMeD,2011,11368,M
iMeD,2011,1152,H
AiIs,2011,9932,L
AiIs,2011,9999,M
AiIs,2011,3294,H
y85r,2011,14038,L
y85r,2011,10804,M
y85r,2011,1315,H
USIL,2011,10874,L
USIL,2011,10117,M
USIL,2011,3704,H
guYH,2011,7980,L
guYH,2011,6289,M
guYH,2011,694,H
EdJh,2011,31246,L
EdJh,2011,24749,M
EdJh,2011,3606,H
Mi6n,2011,6620,L
Mi6n,2011,6489,M
Mi6n,2011,969,H
rFJC,2011,7368,L
rFJC,2011,6247,M
rFJC,2011,1001,H
JwSa,2011,6082,L
JwSa,2011,5555,M
JwSa,2011,766,H
XoTb,2011,2324,L
XoTb,2011,2020,M
XoTb,2011,249,H
