geom_id,year,pop,cl
M3F7,2021,14717,L
M3F7,2021,12334,M
M3F7,2021,2008,H
VZj9,2021,15094,L
VZj9,2021,10418,M
VZj9,2021,1676,H
ARzh,2021,8127,L
ARzh,2021,6441,M
ARzh,2021,990,H
ySgs,2021,12599,L
ySgs,2021,11127,M
ySgs,2021,3137,H
2hOo,2021,9123,L
2hOo,2021,5863,M
2hOo,2021,942,H
HbBQ,2021,3238,L
HbBQ,2021,2364,M
HbBQ,2021,406,H
Rg2Q,2021,5590,L
Rg2Q,2021,3769,M
Rg2Q,2021,652,H
LKoF,2021,11978,L
LKoF,2021,9656,M
LKoF,2021,1565,H
IxZA,2021,3572,L
IxZA,2021,2291,M
IxZA,2021,349,H
KAPC,2021,4611,L
KAPC,2021,3704,M
KAPC,2021,655,H
6VhP,2021,18599,L
6VhP,2021,15340,M
6VhP,2021,2746,H
ySH8,2021,4307,L
ySH8,2021,3834,M
ySH8,2021,723,H
ySLf,2021,2458,L
ySLf,2021,2005,M
ySLf,2021,295,H
bn9f,2021,3100,L
bn9f,2021,1896,M
bn9f,2021,278,H
Dzgv,2021,12850,L
Dzgv,2021,9948,M
Dzgv,2021,2062,H
gXBj,2021,7439,L
gXBj,2021,6123,M
gXBj,2021,1482,H
Ejtr,2021,4311,L
Ejtr,2021,2742,M
Ejtr,2021,395,H
VZwF,2021,31059,L
VZwF,2021,22300,M
VZwF,2021,4618,H
4a9C,2021,3351,L
4a9C,2021,2486,M
4a9C,2021,380,H
Ot9p,2021,4911,L
Ot9p,2021,2906,M
Ot9p,2021,534,H
tCLl,2021,4441,L
tCLl,2021,3045,M
tCLl,2021,577,H
xisZ,2021,14647,L
xisZ,2021,11340,M
xisZ,2021,2333,H
KACW,2021,1311,L
KACW,2021,1000,M
KACW,2021,159,H
eHmh,2021,8770,L
eHmh,2021,6262,M
eHmh,2021,990,H
Rgvj,2021,8449,L
Rgvj,2021,7261,M
Rgvj,2021,1387,H
hfKE,2021,3017,L
hfKE,2021,3219,M
hfKE,2021,3314,H
Aen6,2021,7036,L
Aen6,2021,5175,M
Aen6,2021,4283,H
8gqw,2021,3783,L
8gqw,2021,4052,M
8gqw,2021,3442,H
Sxct,2021,8302,L
Sxct,2021,7870,M
Sxct,2021,1683,H
IouI,2021,11230,L
IouI,2021,11148,M
IouI,2021,3090,H
izwN,2021,26945,L
izwN,2021,22041,M
izwN,2021,4630,H
UKgR,2021,5154,L
UKgR,2021,6781,M
UKgR,2021,4878,H
Jrlq,2021,9539,L
Jrlq,2021,12854,M
Jrlq,2021,5957,H
yINx,2021,4411,L
yINx,2021,5927,M
yINx,2021,3696,H
kAV9,2021,12594,L
kAV9,2021,15966,M
kAV9,2021,6522,H
N29v,2021,6649,L
N29v,2021,3989,M
N29v,2021,1872,H
Xnd8,2021,2769,L
Xnd8,2021,1873,M
Xnd8,2021,808,H
zYGj,2021,5619,L
zYGj,2021,3325,M
zYGj,2021,1179,H
KsbQ,2021,5672,L
KsbQ,2021,3595,M
KsbQ,2021,1232,H
Z3Og,2021,9122,L
Z3Og,2021,6863,M
Z3Og,2021,1802,H
L5gF,2021,9301,L
L5gF,2021,6048,M
L5gF,2021,1252,H
oPh4,2021,3427,L
oPh4,2021,2423,M
oPh4,2021,872,H
bqOd,2021,6766,L
bqOd,2021,2985,M
bqOd,2021,521,H
lNjc,2021,8024,L
lNjc,2021,5880,M
lNjc,2021,1128,H
cEUf,2021,6746,L
cEUf,2021,2979,M
cEUf,2021,504,H
4txb,2021,9114,L
4txb,2021,6730,M
4txb,2021,1259,H
6XTX,2021,20117,L
6XTX,2021,13936,M
6XTX,2021,1989,H
tSD0,2021,15832,L
tSD0,2021,11875,M
tSD0,2021,1836,H
KsXp,2021,6584,L
KsXp,2021,4250,M
KsXp,2021,529,H
qTtR,2021,19428,L
qTtR,2021,14081,M
qTtR,2021,1920,H
Hbiw,2021,6521,L
Hbiw,2021,4707,M
Hbiw,2021,623,H
eHxB,2021,4085,L
eHxB,2021,2333,M
eHxB,2021,413,H
IxQw,2021,3167,L
IxQw,2021,2913,M
IxQw,2021,617,H
CvK0,2021,9753,L
CvK0,2021,10380,M
CvK0,2021,2254,H
5srw,2021,12857,L
5srw,2021,13196,M
5srw,2021,3867,H
FLd2,2021,19494,L
FLd2,2021,16242,M
FLd2,2021,4079,H
kQtw,2021,6959,L
kQtw,2021,3762,M
kQtw,2021,594,H
3TYV,2021,10569,L
3TYV,2021,8256,M
3TYV,2021,1581,H
M3cX,2021,10444,L
M3cX,2021,10907,M
M3cX,2021,2768,H
seIA,2021,2107,L
seIA,2021,2107,M
seIA,2021,722,H
VZPc,2021,6942,L
VZPc,2021,5578,M
VZPc,2021,1093,H
uEMW,2021,8127,L
uEMW,2021,5041,M
uEMW,2021,839,H
PcXr,2021,3924,L
PcXr,2021,2923,M
PcXr,2021,502,H
5sS9,2021,2346,L
5sS9,2021,1870,M
5sS9,2021,318,H
sevh,2021,21050,L
sevh,2021,17239,M
sevh,2021,3845,H
XMzO,2021,7991,L
XMzO,2021,5865,M
XMzO,2021,1169,H
Zquy,2021,6368,L
Zquy,2021,5240,M
Zquy,2021,891,H
