geom_id,year,pop,cl
iMeD,2021,11117,M
iMeD,2021,1004,H
AiIs,2021,10105,L
AiIs,2021,10166,M
AiIs,2021,3058,H
y85r,2021,15018,L
y85r,2021,11382,M
y85r,2021,1229,H
USIL,2021,11822,L
USIL,2021,11083,M
USIL,2021,3679,H
guYH,2021,8278,L
guYH,2021,6503,M
guYH,2021,629,H
EdJh,2021,30535,L
EdJh,2021,24332,M
EdJh,2021,3095,H
Mi6n,2021,7005,L
Mi6n,2021,6788,M
Mi6n,2021,889,H
rFJC,2021,7992,L
rFJC,2021,6497,M
rFJC,2021,874,H
JwSa,2021,6018,L
JwSa,2021,5580,M
JwSa,2021,730,H
XoTb,2021,2549,L
XoTb,2021,2028,M
XoTb,2021,226,H
