geom_id,year,pop,cl
kAZx,2021,10359,L
kAZx,2021,7905,M
kAZx,2021,1016,H
iz9c,2021,18726,L
iz9c,2021,14222,M
iz9c,2021,2132,H
4tin,2021,11500,L
4tin,2021,6887,M
4tin,2021,539,H
miBM,2021,4226,L
miBM,2021,4769,M
miBM,2021,1164,H
MWyU,2021,13434,L
MWyU,2021,12135,M
MWyU,2021,2434,H
s6WS,2021,9943,L
s6WS,2021,8202,M
s6WS,2021,1144,H
PuGb,2021,27261,L
PuGb,2021,18733,M
PuGb,2021,6345,H
QRqj,2021,11841,L
QRqj,2021,12158,M
QRqj,2021,6102,H
n0ro,2021,12919,L
n0ro,2021,14346,M
n0ro,2021,4142,H
qTCg,2021,10800,L
qTCg,2021,7134,M
qTCg,2021,760,H
vlhp,2021,29904,L
vlhp,2021,24712,M
vlhp,2021,4354,H
aCNZ,2021,15343,L
aCNZ,2021,15019,M
aCNZ,2021,4262,H
kAZU,2021,11296,L
kAZU,2021,14995,M
kAZU,2021,4577,H
31SG,2021,12126,L
31SG,2021,12623,M
31SG,2021,3174,H
Yj5T,2021,12415,L
Yj5T,2021,16371,M
Yj5T,2021,6731,H
6X7Z,2021,6178,L
6X7Z,2021,6033,M
6X7Z,2021,1252,H
tSz7,2021,22660,L
tSz7,2021,15509,M
tSz7,2021,1737,H
6XdM,2021,6752,L
6XdM,2021,6749,M
6XdM,2021,2258,H
rvuM,2021,22909,L
rvuM,2021,14469,M
rvuM,2021,1431,H
9L6n,2021,12221,L
9L6n,2021,11496,M
9L6n,2021,2313,H
XnJ6,2021,9727,L
XnJ6,2021,9983,M
XnJ6,2021,3317,H
58nN,2021,14934,L
58nN,2021,13214,M
58nN,2021,4350,H
58nx,2021,9337,L
58nx,2021,7121,M
58nx,2021,3118,H
Ae3H,2021,10831,L
Ae3H,2021,8702,M
Ae3H,2021,1743,H
QRqB,2021,22167,L
QRqB,2021,17001,M
QRqB,2021,1486,H
VMOa,2021,15880,L
VMOa,2021,10213,M
VMOa,2021,1318,H
lNf2,2021,6839,L
lNf2,2021,5491,M
lNf2,2021,685,H
oPwa,2021,5545,L
oPwa,2021,3518,M
oPwa,2021,359,H
gbdd,2021,15062,L
gbdd,2021,11074,M
gbdd,2021,1274,H
bqaO,2021,3704,L
bqaO,2021,3668,M
bqaO,2021,2331,H
Ioho,2021,6918,L
Ioho,2021,7352,M
Ioho,2021,3178,H
KsnQ,2021,7007,L
KsnQ,2021,5372,M
KsnQ,2021,924,H
N2Uo,2021,4963,L
N2Uo,2021,3923,M
N2Uo,2021,804,H
s6WE,2021,11472,L
s6WE,2021,9592,M
s6WE,2021,3752,H
zYp9,2021,36391,L
zYp9,2021,21999,M
zYp9,2021,2500,H
Ae37,2021,13837,L
Ae37,2021,10907,M
Ae37,2021,2267,H
izFu,2021,23633,L
izFu,2021,15423,M
izFu,2021,1972,H
yIcl,2021,12833,L
yIcl,2021,8498,M
yIcl,2021,547,H
Fpgr,2021,14180,L
Fpgr,2021,8642,M
Fpgr,2021,641,H
zYLf,2021,20568,L
zYLf,2021,12657,M
zYLf,2021,814,H
RHTx,2021,16700,L
RHTx,2021,14746,M
RHTx,2021,1739,H
cEpF,2021,10874,L
cEpF,2021,9769,M
cEpF,2021,1806,H
AeWV,2021,17013,L
AeWV,2021,12566,M
AeWV,2021,1028,H
uhkQ,2021,18750,L
uhkQ,2021,11647,M
uhkQ,2021,1407,H
UKXg,2021,21042,L
UKXg,2021,14424,M
UKXg,2021,1335,H
pQbP,2021,8501,L
pQbP,2021,7217,M
pQbP,2021,1586,H
8g0F,2021,12785,L
8g0F,2021,12608,M
8g0F,2021,3267,H
SxYC,2021,9543,L
SxYC,2021,8723,M
SxYC,2021,1848,H
xDjk,2021,6636,L
xDjk,2021,6307,M
xDjk,2021,1698,H
OyDc,2021,8081,L
OyDc,2021,8036,M
OyDc,2021,2485,H
cEkG,2021,3966,L
cEkG,2021,3376,M
cEkG,2021,2149,H
L5XL,2021,11760,L
L5XL,2021,7859,M
L5XL,2021,2478,H
UKV6,2021,5545,L
UKV6,2021,3092,M
UKV6,2021,2699,H
Ksn8,2021,2550,L
Ksn8,2021,1986,M
Ksn8,2021,1694,H
2BKV,2021,13238,L
2BKV,2021,7199,M
2BKV,2021,843,H
Z3tX,2021,12669,L
Z3tX,2021,8358,M
Z3tX,2021,2977,H
8g0j,2021,5983,L
8g0j,2021,5209,M
8g0j,2021,3567,H
GkH4,2021,4230,L
GkH4,2021,3539,M
GkH4,2021,1756,H
eV1v,2021,2097,L
eV1v,2021,1600,M
eV1v,2021,1247,H
HZ4x,2021,6935,L
HZ4x,2021,6652,M
HZ4x,2021,3730,H
yIui,2021,4476,L
yIui,2021,4319,M
yIui,2021,2167,H
EwQA,2021,5313,L
EwQA,2021,4089,M
EwQA,2021,4319,H
L5Xt,2021,7605,L
L5Xt,2021,7032,M
L5Xt,2021,5862,H
hfsw,2021,12128,L
hfsw,2021,12500,M
hfsw,2021,6481,H
