geom_id,year,pop,cl
kAZx,2015,10033,L
kAZx,2015,7679,M
kAZx,2015,1033,H
iz9c,2015,18137,L
iz9c,2015,14364,M
iz9c,2015,2232,H
4tin,2015,11228,L
4tin,2015,7090,M
4tin,2015,567,H
miBM,2015,3645,L
miBM,2015,3903,M
miBM,2015,876,H
MWyU,2015,13318,L
MWyU,2015,12196,M
MWyU,2015,2551,H
s6WS,2015,9074,L
s6WS,2015,7505,M
s6WS,2015,1084,H
PuGb,2015,29996,L
PuGb,2015,19253,M
PuGb,2015,6569,H
QRqj,2015,12322,L
QRqj,2015,12633,M
QRqj,2015,6398,H
n0ro,2015,12684,L
n0ro,2015,13805,M
n0ro,2015,4092,H
qTCg,2015,10650,L
qTCg,2015,7016,M
qTCg,2015,763,H
vlhp,2015,30348,L
vlhp,2015,25072,M
vlhp,2015,4424,H
aCNZ,2015,15486,L
aCNZ,2015,15213,M
aCNZ,2015,4305,H
kAZU,2015,11584,L
kAZU,2015,14801,M
kAZU,2015,4699,H
31SG,2015,12004,L
31SG,2015,12328,M
31SG,2015,3271,H
Yj5T,2015,12452,L
Yj5T,2015,15901,M
Yj5T,2015,6882,H
6X7Z,2015,6460,L
6X7Z,2015,6236,M
6X7Z,2015,1227,H
tSz7,2015,23154,L
tSz7,2015,16313,M
tSz7,2015,1782,H
6XdM,2015,6841,L
6XdM,2015,6990,M
6XdM,2015,2321,H
rvuM,2015,21946,L
rvuM,2015,14584,M
rvuM,2015,1415,H
9L6n,2015,12085,L
9L6n,2015,11818,M
9L6n,2015,2434,H
XnJ6,2015,9780,L
XnJ6,2015,10390,M
XnJ6,2015,3354,H
58nN,2015,15287,L
58nN,2015,13823,M
58nN,2015,4469,H
58nx,2015,11376,L
58nx,2015,7763,M
58nx,2015,3205,H
Ae3H,2015,11481,L
Ae3H,2015,9169,M
Ae3H,2015,1638,H
QRqB,2015,22773,L
QRqB,2015,17262,M
QRqB,2015,1548,H
VMOa,2015,16402,L
VMOa,2015,10760,M
VMOa,2015,1424,H
lNf2,2015,7118,L
lNf2,2015,5613,M
lNf2,2015,691,H
oPwa,2015,5804,L
oPwa,2015,3542,M
oPwa,2015,355,H
gbdd,2015,15415,L
gbdd,2015,11046,M
gbdd,2015,1188,H
bqaO,2015,3949,L
bqaO,2015,3827,M
bqaO,2015,2417,H
Ioho,2015,7388,L
Ioho,2015,7442,M
Ioho,2015,3253,H
KsnQ,2015,6762,L
KsnQ,2015,5310,M
KsnQ,2015,980,H
N2Uo,2015,4938,L
N2Uo,2015,4023,M
N2Uo,2015,854,H
s6WE,2015,12047,L
s6WE,2015,10189,M
s6WE,2015,3903,H
zYp9,2015,34684,L
zYp9,2015,21662,M
zYp9,2015,2497,H
Ae37,2015,14110,L
Ae37,2015,11210,M
Ae37,2015,2279,H
izFu,2015,23943,L
izFu,2015,15955,M
izFu,2015,2018,H
yIcl,2015,13432,L
yIcl,2015,8737,M
yIcl,2015,531,H
Fpgr,2015,15011,L
Fpgr,2015,9182,M
Fpgr,2015,609,H
zYLf,2015,21712,L
zYLf,2015,13078,M
zYLf,2015,816,H
RHTx,2015,17416,L
RHTx,2015,15054,M
RHTx,2015,1814,H
cEpF,2015,11194,L
cEpF,2015,10013,M
cEpF,2015,1731,H
AeWV,2015,18346,L
AeWV,2015,13365,M
AeWV,2015,1014,H
uhkQ,2015,19611,L
uhkQ,2015,12323,M
uhkQ,2015,1349,H
UKXg,2015,21324,L
UKXg,2015,14998,M
UKXg,2015,1303,H
pQbP,2015,8617,L
pQbP,2015,7379,M
pQbP,2015,1619,H
8g0F,2015,13138,L
8g0F,2015,12893,M
8g0F,2015,3222,H
SxYC,2015,9906,L
SxYC,2015,8914,M
SxYC,2015,1832,H
xDjk,2015,7178,L
xDjk,2015,6608,M
xDjk,2015,1666,H
OyDc,2015,8584,L
OyDc,2015,8294,M
OyDc,2015,2493,H
cEkG,2015,4554,L
cEkG,2015,3820,M
cEkG,2015,2349,H
L5XL,2015,13321,L
L5XL,2015,8634,M
L5XL,2015,2513,H
UKV6,2015,6429,L
UKV6,2015,3569,M
UKV6,2015,3217,H
Ksn8,2015,3036,L
Ksn8,2015,2302,M
Ksn8,2015,1972,H
2BKV,2015,12746,L
2BKV,2015,7116,M
2BKV,2015,853,H
Z3tX,2015,11905,L
Z3tX,2015,8711,M
Z3tX,2015,3157,H
8g0j,2015,5677,L
8g0j,2015,5093,M
8g0j,2015,3693,H
GkH4,2015,4733,L
GkH4,2015,3874,M
GkH4,2015,1801,H
eV1v,2015,2279,L
eV1v,2015,1864,M
eV1v,2015,1356,H
HZ4x,2015,7441,L
HZ4x,2015,7155,M
HZ4x,2015,3893,H
yIui,2015,4670,L
yIui,2015,4552,M
yIui,2015,2177,H
EwQA,2015,5253,L
EwQA,2015,4357,M
EwQA,2015,4544,H
L5Xt,2015,7925,L
L5Xt,2015,7380,M
L5Xt,2015,6006,H
hfsw,2015,12459,L
hfsw,2015,12755,M
hfsw,2015,6400,H
