geom_id,year,pop,cl
ZurM,2015,5880,L
ZurM,2015,5939,M
ZurM,2015,2046,H
Ltnp,2015,2826,L
Ltnp,2015,2811,M
Ltnp,2015,649,H
5JhQ,2015,4472,L
5JhQ,2015,2746,M
5JhQ,2015,167,H
KC05,2015,6239,L
KC05,2015,5573,M
KC05,2015,689,H
IsFv,2015,2032,L
IsFv,2015,1821,M
IsFv,2015,1277,H
pMuk,2015,13427,L
pMuk,2015,11146,M
pMuk,2015,1437,H
sTw8,2015,9691,L
sTw8,2015,8145,M
sTw8,2015,1183,H
kQp1,2015,12186,L
kQp1,2015,10636,M
kQp1,2015,1565,H
81FR,2015,8823,L
81FR,2015,8375,M
81FR,2015,1886,H
LMQp,2015,10567,L
LMQp,2015,10759,M
LMQp,2015,2684,H
k3QK,2015,9238,L
k3QK,2015,6989,M
k3QK,2015,751,H
SjoI,2015,29310,L
SjoI,2015,20913,M
SjoI,2015,1966,H
KWe5,2015,18367,L
KWe5,2015,13372,M
KWe5,2015,1333,H
KWH5,2015,7426,L
KWH5,2015,6186,M
KWH5,2015,707,H
iLBD,2015,7283,L
iLBD,2015,6444,M
iLBD,2015,842,H
6J0g,2015,14022,L
6J0g,2015,10102,M
6J0g,2015,1063,H
lUwi,2015,1101,L
lUwi,2015,1121,M
lUwi,2015,500,H
yEcr,2015,6902,L
yEcr,2015,5869,M
yEcr,2015,1031,H
N5cz,2015,3257,L
N5cz,2015,2954,M
N5cz,2015,392,H
XCMb,2015,10100,L
XCMb,2015,8188,M
XCMb,2015,911,H
pCik,2015,3517,L
pCik,2015,3225,M
pCik,2015,334,H
AoCs,2015,4350,L
AoCs,2015,3489,M
AoCs,2015,472,H
6X0V,2015,5922,L
6X0V,2015,4466,M
6X0V,2015,4750,H
eVWC,2015,7529,L
eVWC,2015,5813,M
eVWC,2015,6282,H
pQHl,2015,9013,L
pQHl,2015,7008,M
pQHl,2015,6819,H
RH3I,2015,10795,L
RH3I,2015,8826,M
RH3I,2015,5257,H
58bI,2015,14318,L
58bI,2015,10943,M
58bI,2015,3336,H
FpRa,2015,7758,L
FpRa,2015,6660,M
FpRa,2015,1546,H
2BL6,2015,16052,L
2BL6,2015,9769,M
2BL6,2015,2088,H
AeMe,2015,10797,L
AeMe,2015,8615,M
AeMe,2015,1475,H
Gke1,2015,14145,L
Gke1,2015,12273,M
Gke1,2015,8371,H
vl2G,2015,14576,L
vl2G,2015,11458,M
vl2G,2015,4134,H
Cmz5,2015,10484,L
Cmz5,2015,7410,M
Cmz5,2015,1107,H
lNBz,2015,14594,L
lNBz,2015,13063,M
lNBz,2015,5150,H
Dcwn,2015,6683,L
Dcwn,2015,6288,M
Dcwn,2015,1451,H
yIPm,2015,10403,L
yIPm,2015,9503,M
yIPm,2015,4965,H
xDEU,2015,5909,L
xDEU,2015,4935,M
xDEU,2015,2307,H
s6ny,2015,10076,L
s6ny,2015,7443,M
s6ny,2015,2114,H
Yjp3,2015,12791,L
Yjp3,2015,9893,M
Yjp3,2015,1541,H
kAVI,2015,18872,L
kAVI,2015,12604,M
kAVI,2015,2416,H
9L8b,2015,17189,L
9L8b,2015,13617,M
9L8b,2015,3600,H
zYFB,2015,22954,L
zYFB,2015,16855,M
zYFB,2015,2406,H
cEGw,2015,11477,L
cEGw,2015,9046,M
cEGw,2015,2560,H
UK68,2015,10213,L
UK68,2015,9660,M
UK68,2015,5844,H
n0av,2015,4508,L
n0av,2015,4293,M
n0av,2015,4300,H
PufH,2015,20610,L
PufH,2015,17810,M
PufH,2015,6020,H
pQHn,2015,15349,L
pQHn,2015,11859,M
pQHn,2015,2526,H
HZ1I,2015,14081,L
HZ1I,2015,9411,M
HZ1I,2015,3108,H
bq47,2015,8796,L
bq47,2015,8267,M
bq47,2015,5015,H
31yf,2015,15936,L
31yf,2015,13742,M
31yf,2015,2553,H
miYX,2015,15543,L
miYX,2015,11586,M
miYX,2015,1432,H
OyoP,2015,11123,L
OyoP,2015,8633,M
OyoP,2015,1184,H
UK6e,2015,11900,L
UK6e,2015,9881,M
UK6e,2015,4910,H
VM74,2015,10038,L
VM74,2015,7260,M
VM74,2015,1762,H
EwkK,2015,9043,L
EwkK,2015,5965,M
EwkK,2015,1006,H
58bi,2015,15327,L
58bi,2015,8066,M
58bi,2015,617,H
uhUk,2015,12082,L
uhUk,2015,7931,M
uhUk,2015,1434,H
L5gO,2015,14157,L
L5gO,2015,10248,M
L5gO,2015,2583,H
AeM0,2015,19025,L
AeM0,2015,13579,M
AeM0,2015,1918,H
gbTT,2015,13585,L
gbTT,2015,10957,M
gbTT,2015,1557,H
yStd,2015,41818,L
yStd,2015,35385,M
yStd,2015,9483,H
z2Nl,2015,8756,L
z2Nl,2015,6893,M
z2Nl,2015,873,H
cYzD,2015,8758,L
cYzD,2015,6467,M
cYzD,2015,693,H
gzuH,2015,7237,L
gzuH,2015,6429,M
gzuH,2015,984,H
E14h,2015,1496,L
E14h,2015,1335,M
E14h,2015,211,H
Se9I,2015,4733,L
Se9I,2015,4389,M
Se9I,2015,805,H
hdbB,2015,17088,L
hdbB,2015,14321,M
hdbB,2015,1909,H
6zxg,2015,7296,L
6zxg,2015,7355,M
6zxg,2015,2001,H
lb6i,2015,5786,L
lb6i,2015,5130,M
lb6i,2015,371,H
ysKr,2015,13401,L
ysKr,2015,9312,M
ysKr,2015,1009,H
gc2H,2015,18592,L
gc2H,2015,15879,M
gc2H,2015,2261,H
Igkv,2015,1450,L
Igkv,2015,1430,M
Igkv,2015,305,H
iMeD,2015,16043,L
iMeD,2015,11298,M
iMeD,2015,1090,H
AiIs,2015,9787,L
AiIs,2015,9917,M
AiIs,2015,3396,H
y85r,2015,14164,L
y85r,2015,11022,M
y85r,2015,1275,H
USIL,2015,10855,L
USIL,2015,10176,M
USIL,2015,3680,H
guYH,2015,7948,L
guYH,2015,6286,M
guYH,2015,656,H
EdJh,2015,30624,L
EdJh,2015,24473,M
EdJh,2015,3358,H
Mi6n,2015,6623,L
Mi6n,2015,6658,M
Mi6n,2015,966,H
rFJC,2015,7507,L
rFJC,2015,6246,M
rFJC,2015,937,H
JwSa,2015,5957,L
JwSa,2015,5573,M
JwSa,2015,759,H
XoTb,2015,2385,L
XoTb,2015,2009,M
XoTb,2015,251,H
