i,j,geom_id,year,cell_percent_of_total_agents,percent_of_agent_type,agent_type,likelyhood
1,6,Ltnp,2011,0.005090355762289648,0.4684724270910732,C,0.002384691318716861
1,6,Ltnp,2011,0.005090355762289648,0.444540269419728,B,0.002262868122010505
1,6,Ltnp,2011,0.005090355762289648,0.08698730348919881,A,4.4279632156228154e-4
2,6,5JhQ,2011,0.006470923257758443,0.6053075031670838,C,0.003916898400339575
2,6,5JhQ,2011,0.006470923257758443,0.3765364037418829,B,0.0024365381723660735
2,6,5JhQ,2011,0.006470923257758443,0.018156093091033276,A,1.1748668505279461e-4
4,6,sTw8,2011,0.016671542652178354,0.5132132340263893,C,0.00855605632073334
4,6,sTw8,2011,0.016671542652178354,0.43418269462642745,B,0.007238495312302215
4,6,sTw8,2011,0.016671542652178354,0.05260407134718326,A,8.769910191427989e-4
1,5,81FR,2011,0.016225779479660217,0.46413736786729887,C,0.007530990579284723
1,5,81FR,2011,0.016225779479660217,0.45083330522147014,B,0.007315121792609921
1,5,81FR,2011,0.016225779479660217,0.085029326911231,A,0.001379667107765572
0,6,k3QK,2011,0.014787219493786148,0.5505688222627154,C,0.008141382021234107
0,6,k3QK,2011,0.014787219493786148,0.41546016730114277,B,0.006143500684807113
0,6,k3QK,2011,0.014787219493786148,0.03397101043614181,A,5.023367877449289e-4
5,6,KWH5,2011,0.012597353811318403,0.5261983978759248,C,0.0066287073929919196
5,6,KWH5,2011,0.012597353811318403,0.43471653744316474,B,0.005476278029802791
5,6,KWH5,2011,0.012597353811318403,0.03908506468091044,A,4.923683885236934e-4
2,5,6J0g,2011,0.022088214367942442,0.5623670653673648,C,0.012421684293305054
2,5,6J0g,2011,0.022088214367942442,0.40543569579519345,B,0.008955350561140133
2,5,6J0g,2011,0.022088214367942442,0.032197238837441744,A,7.111795134972552e-4
2,0,6X0V,2011,0.013288935898390232,0.39938950677403673,C,0.005307461554009865
2,0,6X0V,2011,0.013288935898390232,0.3100048823439917,B,0.004119635009657311
2,0,6X0V,2011,0.013288935898390232,0.29060561088197157,A,0.003861839334723055
6,0,eVWC,2011,0.016569406624300412,0.38593404706104706,C,0.00639469815591638
6,0,eVWC,2011,0.016569406624300412,0.3171858570004026,B,0.005255581440116874
6,0,eVWC,2011,0.016569406624300412,0.29688009593855036,A,0.004919127028267158
